epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2732.23,1.01098,2.02999,0.99596,1.15498,0.69807,0.3621,0.39476,0.26793,0.5505,0.26681,0.24579,0.13644,1.01871,1.92192,0.99061,1.13154,0.0004258,0.0004258,0.0004258
31,2803.52,1.00556,2.01896,0.99017,1.14983,0.65897,0.36734,0.39282,0.26809,0.525,0.27155,0.24557,0.13618,1.01998,1.92073,0.98988,1.13983,0.000406,0.000406,0.000406
32,2874.41,1.00528,2.01339,0.98439,1.14829,0.6678,0.36395,0.39128,0.26532,0.5236,0.27657,0.24724,0.13597,1.02884,1.92022,0.99307,1.14293,0.0003862,0.0003862,0.0003862
33,2945.05,0.99463,2.00342,0.97433,1.14413,0.66471,0.37028,0.39452,0.26921,0.54454,0.2774,0.25384,0.13903,1.00895,1.90614,0.98076,1.13172,0.0003664,0.0003664,0.0003664
34,3016.37,0.99882,2.00673,0.97272,1.14503,0.68737,0.36553,0.3971,0.27091,0.55979,0.27403,0.25179,0.13942,1.01465,1.90159,0.97618,1.13351,0.0003466,0.0003466,0.0003466
35,3087.13,0.99325,1.99451,0.96766,1.14289,0.68619,0.36746,0.3978,0.27225,0.56105,0.27487,0.25135,0.14007,1.00716,1.89387,0.96879,1.13268,0.0003268,0.0003268,0.0003268
36,3158.18,0.98833,1.98633,0.95968,1.13796,0.6848,0.36384,0.39817,0.27275,0.54419,0.2772,0.25446,0.14125,0.99697,1.89121,0.95973,1.13273,0.000307,0.000307,0.000307
37,3229.38,0.97946,1.97894,0.95543,1.13489,0.69066,0.37163,0.40255,0.27447,0.56193,0.27573,0.25461,0.14151,0.99634,1.88864,0.96023,1.12814,0.0002872,0.0002872,0.0002872
38,3300.59,0.97899,1.96709,0.94912,1.1351,0.68919,0.36925,0.40034,0.27448,0.5511,0.27985,0.25543,0.1414,1.00108,1.87261,0.96092,1.13215,0.0002674,0.0002674,0.0002674
39,3371.53,0.97369,1.96655,0.94288,1.13231,0.68307,0.37262,0.4008,0.27606,0.54198,0.28045,0.2545,0.14122,0.99446,1.87627,0.95128,1.12569,0.0002476,0.0002476,0.0002476
40,3442.41,0.9676,1.94951,0.93758,1.12984,0.69029,0.36928,0.40303,0.27629,0.55828,0.28137,0.25762,0.14338,0.99444,1.86817,0.95059,1.12675,0.0002278,0.0002278,0.0002278
41,3512.42,0.9599,1.82917,0.91412,1.12556,0.695,0.37097,0.4007,0.27395,0.5705,0.27893,0.25804,0.14338,0.99523,1.87719,0.95228,1.1248,0.000208,0.000208,0.000208
42,3580.21,0.94936,1.81062,0.89707,1.11778,0.70073,0.36902,0.40065,0.27552,0.56971,0.28088,0.25693,0.14236,0.9891,1.87437,0.94947,1.11971,0.0001882,0.0001882,0.0001882
43,3648.01,0.93874,1.79414,0.88565,1.11227,0.6904,0.36929,0.39987,0.27418,0.55973,0.28346,0.2585,0.14282,0.99046,1.8756,0.94926,1.12342,0.0001684,0.0001684,0.0001684
44,3715.53,0.93445,1.78976,0.87824,1.1078,0.69392,0.36763,0.39816,0.27355,0.56578,0.28122,0.257,0.14198,0.99611,1.8669,0.95397,1.12601,0.0001486,0.0001486,0.0001486
45,3783.14,0.929,1.78103,0.87085,1.10526,0.68856,0.37505,0.40287,0.27644,0.56311,0.28878,0.26224,0.14453,0.98878,1.85742,0.94382,1.12459,0.0001288,0.0001288,0.0001288
46,3850.9,0.92249,1.78092,0.86558,1.10021,0.68908,0.37218,0.40363,0.27736,0.56157,0.2848,0.26203,0.14483,0.98977,1.8605,0.94064,1.12293,0.000109,0.000109,0.000109
47,3918.7,0.91378,1.76368,0.85612,1.09769,0.69015,0.37252,0.40436,0.27802,0.55925,0.28399,0.26094,0.14517,0.98722,1.86016,0.93771,1.12336,8.92e-05,8.92e-05,8.92e-05
48,3986.57,0.91272,1.75941,0.8488,1.09592,0.68214,0.37122,0.40275,0.27664,0.56054,0.28321,0.26129,0.14502,0.989,1.86316,0.93912,1.1247,6.94e-05,6.94e-05,6.94e-05
49,4054.24,0.90397,1.75534,0.84341,1.09107,0.69473,0.37109,0.4032,0.27755,0.56014,0.28387,0.26026,0.14446,0.98731,1.85881,0.93574,1.12444,4.96e-05,4.96e-05,4.96e-05
50,4121.84,0.90115,1.74705,0.83987,1.0901,0.6888,0.37334,0.40441,0.27818,0.55925,0.28619,0.26218,0.14589,0.98548,1.85851,0.93518,1.12259,2.98e-05,2.98e-05,2.98e-05
