epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,5779.62,0.64451,1.08274,0.52467,0.98548,0,0.93018,0.79484,0.89055,0.74808,0.87313,0.72956,0.7865,0.61836,0.58988,0.87344,0.45488,0.89664,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,6058.51,0.63953,1.07222,0.51843,0.98283,0,0.94251,0.78509,0.88977,0.74842,0.90625,0.72525,0.79108,0.62359,0.58416,0.86044,0.44221,0.88844,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,6418.22,0.63923,1.0673,0.52301,0.9816,0,0.9362,0.79017,0.89212,0.75422,0.89091,0.72758,0.79475,0.62574,0.57118,0.84317,0.43553,0.8869,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,6740.91,0.62849,1.03543,0.50677,0.97771,0,0.92446,0.80104,0.89211,0.75705,0.89393,0.73045,0.79566,0.62746,0.56132,0.84593,0.43295,0.87757,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,7080.97,0.62648,1.04611,0.50419,0.97692,0,0.94701,0.79165,0.89334,0.75548,0.89801,0.73586,0.79476,0.62274,0.57335,0.8565,0.42623,0.87801,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,7264.68,0.62773,1.04498,0.50414,0.97604,0,0.92963,0.79609,0.89052,0.75263,0.89173,0.74103,0.79938,0.63079,0.57508,0.85473,0.42821,0.88285,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,7417.56,0.61764,1.02078,0.4949,0.97357,0,0.93222,0.80162,0.89747,0.76232,0.89093,0.73539,0.79684,0.63269,0.5545,0.83495,0.41409,0.87259,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,7573.84,0.61124,1.01149,0.49104,0.97027,0,0.93554,0.80273,0.8927,0.75916,0.89662,0.74349,0.80449,0.63642,0.56382,0.82578,0.41971,0.88119,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,7726.47,0.61374,1.02279,0.49068,0.97171,0,0.92978,0.80263,0.89526,0.76282,0.90069,0.74319,0.80511,0.64219,0.54782,0.83572,0.41259,0.87392,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,7878.43,0.61037,1.0101,0.48574,0.97033,0,0.93292,0.80559,0.89776,0.7649,0.89141,0.75086,0.81046,0.63888,0.54739,0.82137,0.41157,0.87455,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8030.77,0.60069,1.00375,0.48436,0.96534,0,0.92985,0.80595,0.89621,0.76304,0.89879,0.74462,0.80823,0.64103,0.55006,0.81955,0.41714,0.87595,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8182.29,0.59863,1.01408,0.48113,0.96422,0,0.93576,0.80982,0.89713,0.76029,0.89798,0.74874,0.80248,0.63689,0.55952,0.81571,0.40488,0.87965,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8335.7,0.5986,0.98665,0.47684,0.9674,0,0.94046,0.81014,0.90032,0.76601,0.90662,0.74641,0.80917,0.64465,0.55213,0.83029,0.39746,0.87245,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,8487.69,0.60029,0.98997,0.48075,0.96581,0,0.93628,0.8117,0.90049,0.76878,0.90085,0.74982,0.80914,0.64568,0.54216,0.80277,0.39454,0.86822,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,8642.11,0.59473,1.00001,0.47697,0.96229,0,0.93989,0.80479,0.89977,0.7714,0.89823,0.75346,0.81071,0.64628,0.53611,0.80763,0.3973,0.8706,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8792.97,0.59007,0.97629,0.47074,0.96181,0,0.92598,0.82114,0.90068,0.77202,0.88972,0.75235,0.80919,0.64888,0.53776,0.79438,0.39059,0.86599,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8950.63,0.58456,0.96149,0.4627,0.95858,0,0.93905,0.8068,0.89928,0.76775,0.90377,0.7512,0.8093,0.64677,0.54963,0.81441,0.39568,0.87109,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,9111.59,0.58302,0.96006,0.46139,0.95486,0,0.93465,0.81205,0.90417,0.77447,0.89277,0.75126,0.81336,0.64866,0.52908,0.80825,0.38914,0.86445,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,9410.45,0.5799,0.95742,0.45681,0.95499,0,0.93395,0.81152,0.90381,0.77277,0.90067,0.75556,0.82146,0.65774,0.54296,0.80151,0.39108,0.8708,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,9677.6,0.58109,0.96005,0.45807,0.95703,0,0.9357,0.81295,0.89994,0.77109,0.90004,0.75414,0.81242,0.65181,0.53658,0.79919,0.38951,0.86573,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,9938.81,0.58034,0.95359,0.4586,0.95463,0,0.94536,0.80061,0.90121,0.77197,0.90737,0.74835,0.81326,0.65544,0.5371,0.80444,0.393,0.86912,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,10244.4,0.57637,0.95584,0.45454,0.95446,0,0.93963,0.81232,0.90218,0.77004,0.91024,0.76021,0.81969,0.65112,0.53365,0.78527,0.38681,0.8709,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,10508.4,0.57641,0.94647,0.45362,0.95243,0,0.93463,0.816,0.90246,0.77286,0.90849,0.74774,0.81558,0.65413,0.53759,0.79632,0.38716,0.87098,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,10784.2,0.56984,0.94257,0.44908,0.95127,0,0.93941,0.81241,0.90092,0.7726,0.90501,0.75897,0.82102,0.65758,0.52843,0.79026,0.39041,0.86755,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,11007.5,0.56499,0.93263,0.44563,0.94656,0,0.9406,0.81782,0.90451,0.77567,0.90311,0.75725,0.81734,0.65414,0.53084,0.80072,0.38106,0.86532,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,11189.4,0.56234,0.92933,0.44321,0.94694,0,0.94353,0.81807,0.90317,0.77407,0.90437,0.75981,0.81995,0.65505,0.53009,0.80453,0.38272,0.8669,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,11341.5,0.56282,0.92926,0.44169,0.94697,0,0.94198,0.81235,0.90407,0.77751,0.90516,0.75915,0.81822,0.65945,0.5244,0.78435,0.37561,0.86279,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,11495.4,0.55758,0.92266,0.43343,0.94383,0,0.93372,0.82371,0.90316,0.77603,0.90068,0.76327,0.82033,0.65722,0.53172,0.79222,0.37636,0.86362,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,11648.3,0.55607,0.90922,0.43321,0.94382,0,0.94584,0.81367,0.90386,0.7773,0.90536,0.7674,0.81909,0.65993,0.52885,0.80346,0.37723,0.86528,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,11818.3,0.5559,0.90523,0.43111,0.94337,0,0.93683,0.82186,0.90389,0.77606,0.90492,0.76202,0.82222,0.65991,0.52222,0.78587,0.37286,0.86195,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,11973.2,0.5502,0.91024,0.42308,0.94261,0,0.93596,0.82309,0.90548,0.78015,0.90365,0.76524,0.82339,0.66066,0.52048,0.80176,0.37347,0.86291,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,12189.6,0.54511,0.88319,0.42553,0.93978,0,0.93802,0.81994,0.90708,0.78194,0.90736,0.76973,0.82703,0.66232,0.51781,0.7983,0.37088,0.86157,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,12454.9,0.54867,0.88924,0.42277,0.94212,0,0.93628,0.82281,0.90346,0.77921,0.9114,0.75951,0.8219,0.6648,0.51472,0.79044,0.36717,0.8646,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,12730.3,0.54837,0.90553,0.42304,0.9386,0,0.93964,0.82365,0.90644,0.78212,0.90192,0.76722,0.82671,0.66238,0.51122,0.79654,0.36627,0.86016,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,13025.7,0.54019,0.89281,0.41819,0.93682,0,0.93564,0.82654,0.90689,0.78123,0.90066,0.76907,0.82781,0.66579,0.51462,0.79094,0.36626,0.86556,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,13287.8,0.5377,0.8758,0.41371,0.93658,0,0.94398,0.81994,0.90731,0.78198,0.90526,0.76945,0.82721,0.66609,0.50764,0.79103,0.36294,0.86134,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,13622.4,0.53312,0.87683,0.41232,0.93251,0,0.9417,0.8227,0.90825,0.78094,0.90648,0.76831,0.82814,0.66634,0.51371,0.79468,0.36385,0.86529,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,13886.3,0.53595,0.88548,0.41593,0.93577,0,0.93533,0.82749,0.90929,0.78236,0.9019,0.77313,0.82992,0.67139,0.51242,0.78579,0.36126,0.86487,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
