epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,548.657,0.76989,1.30464,0.69566,1.07853,0.89059,0.69537,0.79109,0.61941,0.91618,0.68839,0.79264,0.61644,0.79135,1.33427,0.76567,0.96141,0.0014258,0.0014258,0.0014258
31,566.135,0.78562,1.39219,0.69363,1.08554,0.85024,0.73704,0.79597,0.62153,0.85658,0.7455,0.79564,0.61765,0.77072,1.30573,0.67626,0.95659,0.001406,0.001406,0.001406
32,583.607,0.7486,1.2958,0.62963,1.07234,0.92269,0.69923,0.80848,0.64675,0.93214,0.69923,0.81047,0.62479,0.71185,1.2187,0.61284,0.94007,0.0013862,0.0013862,0.0013862
33,601.404,0.77356,1.31519,0.6451,1.08821,0.86339,0.73114,0.80539,0.63067,0.87621,0.73393,0.80618,0.61123,0.75929,1.29489,0.63726,0.96052,0.0013664,0.0013664,0.0013664
34,618.593,0.76021,1.33715,0.64041,1.06787,0.87527,0.74864,0.82398,0.64043,0.87692,0.74176,0.81605,0.61954,0.7676,1.21576,0.60451,0.97924,0.0013466,0.0013466,0.0013466
35,635.489,0.76655,1.28196,0.61816,1.07118,0.87484,0.72772,0.81358,0.63363,0.89081,0.73008,0.82187,0.62674,0.75613,1.2672,0.63836,0.95178,0.0013268,0.0013268,0.0013268
36,653.28,0.76365,1.32071,0.6307,1.08342,0.93003,0.70047,0.79889,0.63587,0.92675,0.71208,0.80437,0.60979,0.72409,1.24579,0.70015,0.93694,0.001307,0.001307,0.001307
37,670.992,0.7511,1.29741,0.63468,1.07042,0.83801,0.70823,0.80127,0.64088,0.8427,0.70437,0.79372,0.6319,0.71964,1.3064,0.70306,0.94077,0.0012872,0.0012872,0.0012872
38,689.351,0.74452,1.25732,0.60081,1.05894,0.8166,0.73522,0.80273,0.63958,0.81534,0.73781,0.80747,0.63058,0.71794,1.18424,0.64172,0.92832,0.0012674,0.0012674,0.0012674
39,707.234,0.7327,1.29035,0.60067,1.06091,0.87551,0.75064,0.81803,0.64775,0.88908,0.73136,0.81031,0.6165,0.71802,1.22171,0.65924,0.9446,0.0012476,0.0012476,0.0012476
40,724.928,0.75245,1.25341,0.6264,1.06801,0.90966,0.6989,0.81512,0.65614,0.91788,0.69923,0.82123,0.64467,0.68544,1.16703,0.61642,0.91618,0.0012278,0.0012278,0.0012278
41,742.908,0.75412,1.32375,0.6219,1.068,0.88753,0.7365,0.81958,0.65945,0.8958,0.74034,0.82366,0.63792,0.66664,1.20097,0.58949,0.89919,0.001208,0.001208,0.001208
42,760.505,0.7168,1.2372,0.59081,1.04924,0.871,0.7377,0.81109,0.64808,0.87327,0.74165,0.82263,0.64528,0.68544,1.19671,0.59852,0.91449,0.0011882,0.0011882,0.0011882
43,778.006,0.74079,1.22967,0.60235,1.06498,0.86953,0.76242,0.82483,0.65022,0.88683,0.75542,0.83461,0.64512,0.72797,1.20778,0.57166,0.93303,0.0011684,0.0011684,0.0011684
44,795.318,0.69487,1.24201,0.56599,1.03332,0.85048,0.76039,0.81766,0.65197,0.84905,0.7591,0.82524,0.6483,0.69039,1.17834,0.56633,0.91471,0.0011486,0.0011486,0.0011486
45,812.558,0.70983,1.21055,0.57559,1.04949,0.90868,0.74181,0.832,0.66571,0.91906,0.74679,0.83242,0.65183,0.67874,1.16166,0.5677,0.90883,0.0011288,0.0011288,0.0011288
46,831.076,0.73087,1.25041,0.58635,1.05071,0.87138,0.75064,0.81607,0.65847,0.88033,0.75835,0.82039,0.6335,0.68494,1.19211,0.59543,0.91244,0.001109,0.001109,0.001109
47,848.719,0.71424,1.22471,0.57342,1.05375,0.87968,0.73298,0.81674,0.66513,0.88748,0.74006,0.82753,0.64519,0.67596,1.18386,0.58814,0.90624,0.0010892,0.0010892,0.0010892
48,866.442,0.68612,1.179,0.55205,1.04349,0.84116,0.76093,0.82307,0.65755,0.85665,0.75835,0.82223,0.64376,0.6973,1.22407,0.56201,0.91374,0.0010694,0.0010694,0.0010694
49,883.96,0.69241,1.19179,0.5554,1.03837,0.8688,0.71337,0.81175,0.65236,0.88129,0.71569,0.82237,0.64951,0.71251,1.16516,0.58302,0.91711,0.0010496,0.0010496,0.0010496
