epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,224.07,0.96479,1.70035,1.03803,1.11571,0.65225,0.48294,0.50301,0.36596,0.66646,0.49081,0.50508,0.35535,1.63811,2.5651,2.15037,1.77071,0.0008516,0.0008516,0.0008516
31,226.513,0.98593,1.74265,1.06353,1.12674,0.69034,0.49606,0.55264,0.40998,0.59024,0.56333,0.54974,0.39786,1.66384,2.52251,1.90046,1.7026,0.000812,0.000812,0.000812
32,229.091,1.00111,1.82921,1.08677,1.13083,0.75287,0.45576,0.55756,0.41164,0.76569,0.46317,0.55598,0.40281,1.5188,2.6838,1.54863,1.58974,0.0007724,0.0007724,0.0007724
33,231.667,0.97285,1.67574,1.05034,1.1243,0.72592,0.50131,0.57687,0.42372,0.72592,0.50131,0.57077,0.40718,1.47981,3.29414,1.26254,1.57057,0.0007328,0.0007328,0.0007328
34,238.149,0.97172,1.78255,1.02507,1.11987,0.66309,0.51444,0.56251,0.41154,0.682,0.50656,0.56177,0.39952,1.37814,3.05096,1.53935,1.3949,0.0006932,0.0006932,0.0006932
35,240.673,0.98533,1.75327,1.0311,1.12554,0.63848,0.53018,0.57259,0.42553,0.65219,0.51444,0.5694,0.41548,1.39413,2.82653,1.96615,1.45968,0.0006536,0.0006536,0.0006536
36,243.249,0.96351,1.69698,0.99893,1.10621,0.69832,0.47244,0.54435,0.40849,0.72568,0.46719,0.542,0.39849,1.47713,2.51068,2.60443,1.48202,0.000614,0.000614,0.000614
37,245.655,0.97507,1.67807,1.02451,1.11668,0.71308,0.50919,0.57998,0.43072,0.72043,0.51444,0.5807,0.42177,1.48567,2.3694,1.96645,1.53341,0.0005744,0.0005744,0.0005744
38,269.037,0.88896,1.55657,0.92526,1.08159,0.67045,0.51706,0.58819,0.44199,0.67861,0.51706,0.58246,0.42692,1.30652,2.5778,1.80084,1.37829,0.0005348,0.0005348,0.0005348
39,352.431,0.93632,1.70024,0.98092,1.10549,0.63689,0.53863,0.55963,0.43154,0.63064,0.54856,0.56087,0.41342,1.43075,2.93625,2.03239,1.58402,0.0004952,0.0004952,0.0004952
40,354.834,0.91208,1.61251,0.97487,1.07521,0.68026,0.51706,0.57658,0.43065,0.67681,0.51444,0.56818,0.41899,1.62684,2.90522,1.73898,1.75123,0.0004556,0.0004556,0.0004556
41,359.035,0.86502,1.62481,0.95131,1.0835,0.72391,0.51444,0.59046,0.43723,0.72391,0.51444,0.58565,0.42112,1.35158,2.61513,1.76126,1.47341,0.000416,0.000416,0.000416
42,361.35,0.8754,1.54019,0.91639,1.08255,0.68184,0.53018,0.59506,0.44546,0.74777,0.49606,0.58701,0.43003,1.41435,2.52306,1.59599,1.46925,0.0003764,0.0003764,0.0003764
43,363.835,0.85162,1.54195,0.90222,1.08214,0.67753,0.53018,0.59654,0.44292,0.68229,0.52493,0.58621,0.41745,1.29355,2.42689,1.57481,1.44843,0.0003368,0.0003368,0.0003368
44,366.153,0.85961,1.53305,0.8998,1.06867,0.69895,0.53625,0.60368,0.45839,0.69848,0.52231,0.59727,0.42829,1.46083,2.56492,1.67838,1.52213,0.0002972,0.0002972,0.0002972
45,368.642,0.8437,1.52248,0.8706,1.06969,0.70699,0.53198,0.60869,0.45945,0.70336,0.52493,0.60078,0.43976,1.37985,2.58296,1.7425,1.43291,0.0002576,0.0002576,0.0002576
46,371.112,0.83681,1.5075,0.86409,1.06846,0.71148,0.54331,0.61505,0.46557,0.71044,0.53806,0.60636,0.44812,1.33971,2.75878,1.7447,1.54472,0.000218,0.000218,0.000218
47,373.589,0.80456,1.45092,0.83264,1.05205,0.66629,0.56596,0.61256,0.46128,0.66178,0.54856,0.60665,0.44298,1.38449,2.74002,1.58944,1.49588,0.0001784,0.0001784,0.0001784
48,376.007,0.80469,1.47872,0.8459,1.05357,0.69025,0.55564,0.61733,0.46628,0.69718,0.53781,0.60885,0.44426,1.34845,2.69892,1.67559,1.40882,0.0001388,0.0001388,0.0001388
49,378.328,0.80186,1.42941,0.83999,1.05178,0.68568,0.55906,0.61609,0.4714,0.68644,0.55381,0.61045,0.44925,1.31554,2.62999,1.65925,1.33848,9.92e-05,9.92e-05,9.92e-05
50,380.811,0.79698,1.41048,0.81867,1.04534,0.65278,0.57239,0.61356,0.46821,0.69395,0.54856,0.60538,0.44624,1.29005,2.61499,1.66031,1.32858,5.96e-05,5.96e-05,5.96e-05
