epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,605.93,0.80967,1.56532,0.75685,1.06792,0.90749,0.64279,0.75947,0.59696,0.90752,0.643,0.7549,0.59249,0.84246,1.40097,1.0264,0.99513,0.0014258,0.0014258,0.0014258
31,625.661,0.78474,1.49429,0.7285,1.05512,0.90447,0.70134,0.8024,0.65075,0.89913,0.70513,0.7955,0.63198,0.76677,1.24309,0.80409,0.97918,0.001406,0.001406,0.001406
32,645.641,0.78824,1.4963,0.70795,1.04671,0.88913,0.70798,0.81886,0.6636,0.89271,0.71083,0.80483,0.64491,0.75512,1.23775,0.79383,0.94715,0.0013862,0.0013862,0.0013862
33,666.058,0.74716,1.4953,0.67077,1.04476,0.92763,0.69088,0.80595,0.64562,0.92651,0.69088,0.79849,0.63591,0.77439,1.31933,0.77461,0.98195,0.0013664,0.0013664,0.0013664
34,685.512,0.78563,1.48781,0.71571,1.05533,0.94058,0.651,0.77355,0.63602,0.93738,0.64815,0.77206,0.61329,0.74213,1.29763,0.91129,0.93644,0.0013466,0.0013466,0.0013466
35,705.666,0.77145,1.49846,0.71111,1.05369,0.90539,0.70884,0.82495,0.67289,0.90073,0.71368,0.82038,0.64903,0.71938,1.22761,0.81375,0.92478,0.0013268,0.0013268,0.0013268
36,726.387,0.74558,1.44837,0.70646,1.03566,0.87736,0.71368,0.82219,0.66557,0.8672,0.71652,0.81457,0.65231,0.78969,1.19603,0.75929,0.94705,0.001307,0.001307,0.001307
37,745.955,0.75244,1.44454,0.68531,1.0411,0.88804,0.71185,0.83012,0.6808,0.88983,0.71225,0.81892,0.64916,0.73788,1.20051,0.7317,0.9299,0.0012872,0.0012872,0.0012872
38,766.271,0.74762,1.43683,0.67713,1.03513,0.89867,0.70228,0.81252,0.66082,0.89675,0.70085,0.80819,0.63578,0.76408,1.2609,0.78221,0.946,0.0012674,0.0012674,0.0012674
39,786.545,0.74805,1.5167,0.67248,1.03933,0.90864,0.70841,0.83149,0.66523,0.90535,0.70852,0.8243,0.64139,0.77835,1.22132,0.74245,0.96514,0.0012476,0.0012476,0.0012476
40,806.597,0.73728,1.42059,0.6656,1.03101,0.91043,0.70949,0.79686,0.65371,0.90677,0.70664,0.79449,0.62407,0.71445,1.23513,0.94781,0.9256,0.0012278,0.0012278,0.0012278
41,826.745,0.74277,1.45949,0.66336,1.04488,0.88067,0.72222,0.81491,0.66382,0.87831,0.71972,0.80484,0.64438,0.71984,1.2554,0.76177,0.95306,0.001208,0.001208,0.001208
42,846.658,0.73609,1.37262,0.62954,1.02353,0.86862,0.72365,0.82666,0.68394,0.8686,0.72507,0.82232,0.65863,0.70506,1.2028,0.74457,0.93807,0.0011882,0.0011882,0.0011882
43,867.136,0.72936,1.42354,0.67048,1.02936,0.88303,0.74199,0.83097,0.67242,0.87429,0.74501,0.82312,0.6477,0.72093,1.2213,0.77153,0.93803,0.0011684,0.0011684,0.0011684
44,886.677,0.72332,1.39334,0.64718,1.02375,0.87529,0.73504,0.82624,0.67588,0.87854,0.73504,0.8229,0.65116,0.72035,1.21393,0.74766,0.93698,0.0011486,0.0011486,0.0011486
45,908.115,0.71987,1.38119,0.64906,1.01992,0.85989,0.73362,0.82826,0.67635,0.86658,0.73077,0.82271,0.65048,0.71866,1.18719,0.74831,0.94061,0.0011288,0.0011288,0.0011288
46,928.089,0.72195,1.43309,0.63755,1.02344,0.92977,0.69778,0.81652,0.6696,0.93856,0.69801,0.81547,0.65505,0.67417,1.17169,0.76003,0.91457,0.001109,0.001109,0.001109
47,948.29,0.71454,1.4072,0.65254,1.02154,0.87142,0.72934,0.83456,0.68749,0.86619,0.7265,0.82274,0.67605,0.72805,1.15706,0.73732,0.93319,0.0010892,0.0010892,0.0010892
48,968.442,0.70757,1.40484,0.62841,1.01854,0.91188,0.72231,0.84156,0.68808,0.91222,0.72535,0.8358,0.6647,0.70705,1.19804,0.71664,0.93075,0.0010694,0.0010694,0.0010694
49,988.294,0.73016,1.37537,0.65325,1.0313,0.90721,0.71083,0.81282,0.67145,0.90286,0.70798,0.79833,0.64529,0.69756,1.1423,0.73845,0.91864,0.0010496,0.0010496,0.0010496
50,1007.49,0.69755,1.32721,0.62066,1.00862,0.85535,0.74501,0.82828,0.68765,0.84633,0.74644,0.82851,0.674,0.67779,1.16694,0.70634,0.90721,0.0010298,0.0010298,0.0010298
51,1027.75,0.70153,1.35647,0.62324,1.01294,0.87542,0.75078,0.83614,0.69049,0.87542,0.75078,0.83242,0.64914,0.69048,1.19682,0.73566,0.94194,0.00101,0.00101,0.00101
52,1047.44,0.70189,1.37421,0.62252,1.01432,0.91827,0.73625,0.82516,0.68121,0.91827,0.73625,0.81912,0.65513,0.69801,1.16341,0.77317,0.92509,0.0009902,0.0009902,0.0009902
53,1066.6,0.6559,1.22593,0.57625,0.99188,0.92106,0.71465,0.83615,0.69181,0.86284,0.75274,0.82875,0.66918,0.68287,1.17045,0.69556,0.90921,0.0009704,0.0009704,0.0009704
54,1086.81,0.70157,1.32875,0.62287,1.01765,0.87255,0.74359,0.83055,0.68815,0.87255,0.74359,0.8283,0.66267,0.68794,1.16484,0.71175,0.9229,0.0009506,0.0009506,0.0009506
55,1108.04,0.68993,1.33473,0.59623,1.00735,0.90784,0.72365,0.84217,0.69883,0.91142,0.7265,0.83548,0.67434,0.67844,1.15193,0.68142,0.92284,0.0009308,0.0009308,0.0009308
56,1128.03,0.6962,1.33609,0.60016,1.01654,0.8925,0.75214,0.83424,0.68088,0.89158,0.74974,0.82576,0.67051,0.70383,1.17079,0.6962,0.93569,0.000911,0.000911,0.000911
57,1148.44,0.66566,1.22135,0.59587,1.00198,0.91456,0.72792,0.82884,0.68204,0.91098,0.72507,0.82054,0.66484,0.69887,1.17794,0.7514,0.92697,0.0008912,0.0008912,0.0008912
58,1168.26,0.66392,1.24875,0.57,0.99523,0.9397,0.71039,0.85041,0.70755,0.95017,0.7094,0.84322,0.68037,0.62547,1.15092,0.64345,0.88988,0.0008714,0.0008714,0.0008714
59,1188.5,0.65374,1.20229,0.56165,0.99501,0.89141,0.72503,0.83542,0.69291,0.89187,0.72846,0.83028,0.66776,0.66386,1.15328,0.68586,0.90244,0.0008516,0.0008516,0.0008516
60,1208.33,0.65431,1.28738,0.57981,0.9972,0.88157,0.73164,0.83168,0.69257,0.86391,0.73647,0.82681,0.65541,0.65207,1.12639,0.69421,0.9226,0.0008318,0.0008318,0.0008318
61,1228.03,0.65269,1.28388,0.57693,0.99438,0.87228,0.76923,0.83908,0.70725,0.86743,0.76496,0.83329,0.6823,0.6226,1.11902,0.67621,0.89042,0.000812,0.000812,0.000812
62,1248.46,0.66333,1.26034,0.57734,0.99891,0.89432,0.73932,0.8325,0.69512,0.89505,0.73504,0.82192,0.66589,0.64881,1.13094,0.69935,0.89754,0.0007922,0.0007922,0.0007922
63,1268.08,0.64497,1.19135,0.56064,0.99765,0.89402,0.75705,0.84248,0.69338,0.9126,0.74371,0.83361,0.67599,0.69202,1.14254,0.69163,0.92329,0.0007724,0.0007724,0.0007724
